symbol,group,take_profit_pct,stop_loss_pct,trades,wins,losses,timeouts,both_hit,win_rate_pct,net_usd,fees_usd,avg_hold_minutes,avg_win_usd,avg_loss_usd,worst_trade_usd,best_trade_usd
BCHUSDT,large_alt,0.5,0.35,417,127,218,72,1,30.455635491606714,-892.7211817492288,834.0,23.17505995203837,2.7758592049042314,-4.845904624814332,-5.5,3.0
BCHUSDT,large_alt,0.5,0.5,341,123,133,85,0,36.070381231671554,-732.86947352494,682.0,28.563049853372434,2.8331632559255233,-5.536187206121489,-7.0,3.0
BCHUSDT,large_alt,0.3,0.15,1014,334,663,17,10,32.938856015779095,-2011.2670555634718,2028.0,8.94181459566075,1.0,-3.4489221405345174,-3.5,1.0
BCHUSDT,large_alt,0.3,0.3,653,301,319,33,5,46.094946401225116,-1353.4469549683495,1306.0,14.437978560490047,1.0,-4.700133394796447,-5.0,1.0
BCHUSDT,large_alt,0.4,0.2,684,204,447,33,3,29.82456140350877,-1415.097108289635,1368.0,13.738304093567251,1.9478640689333968,-3.8853336623618873,-4.0,2.0
BCHUSDT,large_alt,0.4,0.35,482,190,238,54,3,39.41908713692946,-1019.5560772972764,964.0,19.914937759336098,1.970313965149459,-4.915166484148847,-5.5,2.0
BCHUSDT,large_alt,0.25,0.12,1355,428,922,5,9,31.58671586715867,-2743.3247114954365,2710.0,6.4398523985239855,0.5,-3.1902100447631354,-3.1999999999999997,0.5
BCHUSDT,large_alt,0.2,0.1,1510,537,969,4,11,35.562913907284766,-2912.806041014835,3020.0,5.676158940397351,0.0,-1.9290106231886326,-3.0,0.0
BCHUSDT,large_alt,0.6,0.25,467,104,303,60,1,22.26980728051392,-969.6739193281967,934.0,20.58672376873662,3.4220396294207447,-4.242934777348463,-4.500000000000001,4.0
BCHUSDT,large_alt,0.8,0.3,372,61,226,85,0,16.397849462365592,-752.555460204211,744.0,26.099462365591396,4.369772547607064,-4.503775392370691,-5.0,6.0
BCHUSDT,large_alt,0.8,0.4,318,58,160,100,0,18.238993710691823,-681.8562166614356,636.0,30.70125786163522,4.410010217794277,-4.9363551002326975,-6.0,6.0
BCHUSDT,large_alt,1.0,0.4,292,37,152,103,0,12.67123287671233,-645.8031816063124,584.0,33.523972602739725,4.630535065007293,-4.97484676474483,-6.0,8.0
BCHUSDT,large_alt,1.0,0.5,247,34,99,114,0,13.765182186234817,-539.0876027612537,494.0,39.81376518218624,4.771462255327792,-5.214809720411849,-7.0,8.0
ATOMUSDT,large_alt,0.5,0.08,1189,210,969,10,0,17.661900756938604,-2085.068426892333,2378.0,7.47771236333053,2.9593825260063427,-2.788078243546396,-2.8,3.0
ATOMUSDT,large_alt,0.5,0.15,915,220,683,12,0,24.043715846994534,-1733.4746261386165,1830.0,10.017486338797815,2.9800990400815963,-3.4746987136279213,-3.5,3.0
ATOMUSDT,large_alt,0.5,0.25,658,202,436,20,0,30.699088145896656,-1371.6788467991557,1316.0,14.320668693009118,2.919335839293181,-4.430221814845366,-4.500000000000001,3.0
ATOMUSDT,large_alt,0.5,0.35,491,178,279,34,0,36.25254582484725,-1028.381061009396,982.0,19.531568228105908,2.8972827798262575,-5.272540239854037,-5.5,3.0
ATOMUSDT,large_alt,0.5,0.5,401,164,183,54,0,40.89775561097257,-909.2918521115389,802.0,24.139650872817956,2.9162411642836505,-6.161071320385707,-7.0,3.0
ATOMUSDT,large_alt,0.3,0.15,1221,411,806,4,5,33.66093366093366,-2416.129684676491,2442.0,7.256347256347256,1.0,-3.490283561329001,-3.5,1.0
ATOMUSDT,large_alt,0.3,0.3,783,364,409,10,2,46.48786717752235,-1705.4643315273286,1566.0,11.874840357598979,1.0,-4.939055683836107,-5.0,1.0
ATOMUSDT,large_alt,0.4,0.2,811,263,538,10,1,32.42909987669544,-1636.7540802345302,1622.0,11.430332922318126,1.999044158007306,-3.9570415684615345,-4.0,2.0
ATOMUSDT,large_alt,0.4,0.35,560,235,299,26,1,41.964285714285715,-1224.8472149569286,1120.0,17.001785714285713,1.9853845463000517,-5.2939380732792545,-5.5,2.0
ATOMUSDT,large_alt,0.25,0.12,1701,527,1171,3,13,30.98177542621987,-3489.079379002469,3402.0,4.926513815402704,0.5,-3.1964049224893185,-3.1999999999999997,0.5
ATOMUSDT,large_alt,0.2,0.1,1935,611,1322,2,19,31.57622739018088,-3969.9917488739384,3870.0,4.209819121447029,0.0,-2.051675322415472,-3.0,0.0
ATOMUSDT,large_alt,0.6,0.25,583,148,404,31,0,25.385934819897084,-1237.9174319685076,1166.0,16.291595197255575,3.7916546911578077,-4.380032789679892,-4.500000000000001,4.0
ATOMUSDT,large_alt,0.8,0.3,409,73,271,65,0,17.848410757946212,-907.8306550210469,818.0000000000001,23.6479217603912,4.727324217930481,-4.743696649251565,-5.0,6.0
ATOMUSDT,large_alt,0.8,0.4,338,71,196,71,0,21.005917159763314,-783.2228282665878,676.0,28.825443786982248,4.8616352766335424,-5.333556117352699,-6.0,6.0
ATOMUSDT,large_alt,1.0,0.4,309,46,180,83,0,14.88673139158576,-716.3239475244795,618.0,31.624595469255663,5.5198268602531115,-5.244397350158849,-6.0,8.0
ATOMUSDT,large_alt,1.0,0.5,276,44,141,91,0,15.942028985507246,-689.2699892158265,552.0,35.52536231884058,5.429723296734478,-5.847975770866255,-7.0,8.0
DOGEUSDT,memecoin,0.5,0.08,985,110,831,44,3,11.16751269035533,-2012.428431351627,1970.0,9.234517766497461,2.7035302644262624,-2.745660576845903,-2.8,3.0
DOGEUSDT,memecoin,0.5,0.15,650,119,479,52,0,18.307692307692307,-1351.19434553075,1300.0,14.509230769230768,2.7095624680568893,-3.3457098077558114,-3.5,3.0
DOGEUSDT,memecoin,0.5,0.25,460,114,276,70,1,24.782608695652176,-971.3952675985659,920.0,20.91521739130435,2.6627617274836752,-4.012817793005856,-4.500000000000001,3.0
DOGEUSDT,memecoin,0.5,0.35,370,100,187,83,1,27.027027027027028,-857.752034124189,740.0,26.245945945945945,2.6043122184831407,-4.652052542325429,-5.5,3.0
DOGEUSDT,memecoin,0.5,0.5,294,92,104,98,1,31.292517006802722,-652.7816996636099,588.0,33.2891156462585,2.7119578127320665,-5.001325679857495,-7.0,3.0
DOGEUSDT,memecoin,0.3,0.15,891,269,594,28,7,30.190796857463525,-1842.9284181636797,1782.0,10.31425364758698,0.9912991552926894,-3.4128623399083864,-3.5,1.0
