symbol,combo,dip_pct,dip_minutes,stable_range_pct,stable_minutes,take_profit_pct,stop_loss_pct,timeout_minutes,candidates,trades,wins,losses,timeouts,both_hit,win_rate_pct,resolved_win_rate_pct,breakeven_win_rate_pct,edge_vs_be_pp,net_usd,fees_usd,avg_hold_minutes,avg_win_usd,avg_loss_usd,worst_trade_usd,best_trade_usd
ARM,dip5_1d,5.0,390,1.5,30,6.0,3.0,780,215,40,9,27,4,0,22.5,25.0,40.0,-15.0,-468.85281304117495,240.0,341.75,48.80389924320397,-34.67916223160064,-36.0,54.0
ARM,dip5_2d,5.0,780,1.5,45,6.0,3.5,1170,220,35,11,24,0,0,31.428571428571427,31.428571428571427,43.15789473684211,-11.729323308270683,-390.0,210.0,433.85714285714283,54.0,-41.0,-41.0,54.0
ARM,dip6_1d,6.0,390,1.5,30,6.0,3.0,780,170,37,9,25,3,0,24.324324324324323,26.470588235294116,40.0,-13.529411764705884,-374.36834247466624,222.0,316.4864864864865,48.80389924320397,-35.04658592884269,-36.0,54.0
ARM,dip6_2d,6.0,780,2.0,60,7.0,3.5,1170,162,34,10,23,1,0,29.41176470588235,30.303030303030305,39.04761904761905,-8.744588744588746,-243.95276580192677,204.00000000000003,421.3235294117647,63.54974856346121,-41.0,-41.0,64.0
ARM,dip7_2d,7.0,780,2.0,45,7.0,4.0,1170,182,29,9,19,1,0,31.03448275862069,32.142857142857146,41.81818181818181,-9.675324675324667,-246.80654056503408,174.00000000000003,446.55172413793105,62.71934594349659,-46.0,-46.0,64.0
ARM,dip8_2d,8.0,780,2.0,60,8.0,4.0,1170,128,25,8,16,1,0,32.0,33.333333333333336,38.33333333333333,-4.999999999999993,-84.95276580192677,150.0,508.6,72.3385815775637,-46.0,-46.0,74.0
ARM,dip8_3d,8.0,1170,2.5,90,8.0,4.0,1560,113,24,8,15,1,0,33.333333333333336,34.78260869565217,38.33333333333333,-3.5507246376811565,-75.46974638684335,144.00000000000003,570.625,68.28113929035074,-46.0,-46.0,74.0
ARM,dip4_2d,4.0,780,1.2,45,5.0,3.0,1170,252,40,16,24,0,0,40.0,40.0,44.99999999999999,-4.999999999999993,-159.99999999999994,240.0,351.125,44.00000000000001,-36.0,-36.0,44.00000000000001
ARM,dip10_3d,10.0,1170,2.5,60,10.0,5.0,1950,127,19,6,12,1,0,31.57894736842105,33.333333333333336,37.333333333333336,-4.0,-88.24006154638909,114.0,710.5263157894736,83.39427692194441,-56.0,-56.0,94.0
IBM,dip4_1d,4.0,390,1.2,30,5.0,3.0,780,55,11,3,4,4,0,27.272727272727273,42.857142857142854,44.99999999999999,-2.142857142857139,-21.27754042202462,66.0,509.09090909090907,35.805081987111606,-23.499695481495866,-36.0,44.00000000000001
IBM,dip5_1d,5.0,390,1.5,30,6.0,3.0,780,19,5,2,2,1,0,40.0,50.0,40.0,10.0,13.83200152270878,30.0,482.0,54.0,-31.38933282576374,-36.0,54.0
IBM,dip5_2d,5.0,780,1.5,45,6.0,3.5,1170,46,7,3,3,1,0,42.857142857142854,50.0,43.15789473684211,6.84210526315789,31.087344829340584,42.0,651.4285714285714,54.0,-32.72816379266485,-41.0,54.0
IBM,dip6_1d,6.0,390,1.5,30,6.0,3.0,780,13,3,1,2,0,0,33.333333333333336,33.333333333333336,40.0,-6.666666666666664,-18.0,18.000000000000004,296.6666666666667,54.0,-36.0,-36.0,54.0
IBM,dip6_2d,6.0,780,2.0,60,7.0,3.5,1170,22,7,2,3,2,0,28.571428571428573,40.0,39.04761904761905,0.952380952380949,-21.753691415347653,42.0,845.0,46.93143986396431,-40.637002751810144,-41.0,64.0
IBM,dip7_2d,7.0,780,2.0,45,7.0,4.0,1170,18,3,0,2,1,0,0.0,0.0,41.81818181818181,-41.81818181818181,-78.75996743807003,18.000000000000004,1010.0,13.240032561929965,-46.0,-46.0,13.240032561929965
IBM,dip8_2d,8.0,780,2.0,60,8.0,4.0,1170,12,2,0,1,1,0,0.0,0.0,38.33333333333333,-38.33333333333333,-33.20568040810707,12.0,945.0,12.794319591892927,-46.0,-46.0,12.794319591892927
IBM,dip8_3d,8.0,1170,2.5,90,8.0,4.0,1560,16,3,0,1,2,0,0.0,0.0,38.33333333333333,-38.33333333333333,-52.6996513459917,18.000000000000004,841.6666666666666,0.0,-17.5665504486639,-46.0,-0.13381481423290797
IBM,dip4_2d,4.0,780,1.2,45,5.0,3.0,1170,87,13,3,6,4,0,23.076923076923077,33.333333333333336,44.99999999999999,-11.666666666666657,-49.51886308953557,78.0,690.3846153846154,38.243482911149215,-30.0920347056602,-36.0,44.00000000000001
IBM,dip10_3d,10.0,1170,2.5,60,10.0,5.0,1950,17,2,0,1,1,0,0.0,0.0,37.333333333333336,-37.333333333333336,-71.35522418389722,12.0,1335.0,0.0,-35.67761209194861,-56.0,-15.355224183897226
TXN,dip4_1d,4.0,390,1.2,30,5.0,3.0,780,104,18,4,6,8,0,22.22222222222222,40.0,44.99999999999999,-4.999999999999993,-91.26625765824383,108.0,541.6666666666666,29.459950022284154,-27.044173437657534,-36.0,44.00000000000001
